4308	0.1384	at patch	5000	30	15
4313	0.1374	at patch	5000	30	15
4311	0.1378	at patch	5000	30	15
4302	0.1396	at patch	2000	30	15
4308	0.1384	at patch	5000	30	15
4313	0.1374	at patch	4000	30	15
4317	0.1366	at patch	5000	30	15
4309	0.1382	at patch	5000	30	15
4305	0.139	at patch	4000	30	15
4318	0.1364	at patch	5000	30	15
4314	0.1372	at patch	4000	30	15
4315	0.137	at patch	5000	30	15
4315	0.137	at patch	5000	30	15
4308	0.1384	at patch	2000	30	15
4302	0.1396	at patch	5000	30	15
4302	0.1396	at patch	2000	30	15
4308	0.1384	at patch	3000	30	15
4307	0.1386	at patch	2000	30	15
4313	0.1374	at patch	4000	30	15
4311	0.1378	at patch	5000	30	15
4305	0.139	at patch	3000	30	15
4318	0.1364	at patch	5000	30	15
758	0.8484	at patch	1000	30	15
4312	0.1376	at patch	5000	30	15
4308	0.1384	at patch	5000	30	15
4306	0.1388	at patch	5000	30	15
4306	0.1388	at patch	5000	30	15
4304	0.1392	at patch	2000	30	15
4309	0.1382	at patch	5000	30	15
4303	0.1394	at patch	2000	30	15
4304	0.1392	at patch	5000	30	15
4302	0.1396	at patch	2000	30	15
4314	0.1372	at patch	2000	30	15
4308	0.1384	at patch	5000	30	15
4303	0.1394	at patch	5000	30	15
4304	0.1392	at patch	5000	30	15
4316	0.1368	at patch	5000	30	15
4311	0.1378	at patch	4000	30	15
4306	0.1388	at patch	5000	30	15
4308	0.1384	at patch	5000	30	15
4315	0.137	at patch	5000	30	15
4308	0.1384	at patch	5000	30	15
4309	0.1382	at patch	2000	30	15
4305	0.139	at patch	5000	30	15
4309	0.1382	at patch	3000	30	15
4308	0.1384	at patch	5000	30	15
4303	0.1394	at patch	5000	30	15
4312	0.1376	at patch	5000	30	15
4309	0.1382	at patch	5000	30	15
4301	0.1398	at patch	5000	30	15
4303	0.1394	at patch	2000	30	15
4307	0.1386	at patch	5000	30	15
4305	0.139	at patch	2000	30	15
4305	0.139	at patch	5000	30	15
4308	0.1384	at patch	4000	30	15
4313	0.1374	at patch	5000	30	15
4305	0.139	at patch	2000	30	15
4313	0.1374	at patch	5000	30	15
758	0.8484	at patch	1000	30	15
758	0.8484	at patch	2000	30	15
758	0.8484	at patch	3000	30	15
758	0.8484	at patch	4000	30	15
758	0.8484	at patch	5000	30	15
4309	0.1382	at patch	5000	30	15
4306	0.1388	at patch	5000	30	15
4304	0.1392	at patch	2000	30	15
4309	0.1382	at patch	4000	30	15
4316	0.1368	at patch	5000	30	15
4309	0.1382	at patch	5000	30	15
4306	0.1388	at patch	2000	30	15
4306	0.1388	at patch	5000	30	15
4301	0.1398	at patch	4000	30	15
4307	0.1386	at patch	5000	30	15
4318	0.1364	at patch	5000	30	15
4314	0.1372	at patch	5000	30	15
4307	0.1386	at patch	5000	30	15
4302	0.1396	at patch	3000	30	15
4317	0.1366	at patch	5000	30	15
4315	0.137	at patch	5000	30	15
4310	0.138	at patch	4000	30	15
4314	0.1372	at patch	3000	30	15
4301	0.1398	at patch	4000	30	15
4313	0.1374	at patch	5000	30	15
4313	0.1374	at patch	4000	30	15
4304	0.1392	at patch	5000	30	15
4308	0.1384	at patch	5000	30	15
4317	0.1366	at patch	5000	30	15
4307	0.1386	at patch	4000	30	15
4313	0.1374	at patch	5000	30	15
4308	0.1384	at patch	5000	30	15
4308	0.1384	at patch	3000	30	15
4306	0.1388	at patch	4000	30	15
4307	0.1386	at patch	5000	30	15
4315	0.137	at patch	5000	30	15
4305	0.139	at patch	4000	30	15
4311	0.1378	at patch	5000	30	15
4302	0.1396	at patch	5000	30	15
4313	0.1374	at patch	5000	10	20
4303	0.1394	at patch	5000	10	20
4303	0.1394	at patch	5000	10	20
4301	0.1398	at patch	2000	10	20
4301	0.1398	at patch	5000	10	20
